segment_id,start,end,duration_hours
0,2022-04-26T06:00:00,2022-04-29T11:28:00,77.46666666666667
1,2022-05-03T16:28:00,2022-05-07T06:52:00,86.4
2,2022-05-16T16:54:00,2022-05-19T21:00:00,76.1
3,2022-10-04T15:39:00,2022-10-07T19:09:00,75.5
4,2022-10-11T14:18:00,2022-10-14T15:00:00,72.7
5,2022-11-02T16:50:00,2022-11-05T17:44:00,72.9
6,2022-11-06T09:02:00,2022-11-14T01:08:00,184.1
7,2022-11-21T21:16:00,2022-11-24T21:55:00,72.65
8,2022-12-03T07:50:00,2022-12-06T08:38:00,72.8
9,2022-12-16T00:18:00,2022-12-19T00:35:00,72.28333333333333
10,2022-12-20T18:01:00,2022-12-23T19:36:00,73.58333333333333
11,2022-12-29T10:38:00,2023-01-01T13:31:00,74.88333333333334
12,2023-01-01T17:20:00,2023-01-05T18:09:00,96.81666666666666
13,2023-01-09T09:39:00,2023-01-27T13:10:00,435.51666666666665
14,2023-01-31T17:44:00,2023-02-03T19:09:00,73.41666666666667
15,2023-02-04T17:08:00,2023-04-28T20:43:00,1995.5833333333333
16,2023-05-02T16:40:00,2023-05-08T08:03:00,135.38333333333333
17,2023-05-09T06:44:00,2023-05-14T11:39:00,124.91666666666667
18,2023-05-18T16:06:00,2023-05-23T20:43:00,124.61666666666666
19,2023-05-24T02:53:00,2023-05-29T21:42:00,138.81666666666666
20,2023-05-30T08:51:00,2023-06-02T09:07:00,72.26666666666667
21,2023-06-10T14:33:00,2023-06-13T14:47:00,72.23333333333333
22,2023-07-16T18:52:00,2023-07-19T19:33:00,72.68333333333334
23,2023-07-26T21:26:00,2023-07-29T21:39:00,72.21666666666667
24,2023-08-01T14:09:00,2023-08-07T02:19:00,132.16666666666666
25,2023-08-09T19:49:00,2023-08-12T20:16:00,72.45
26,2023-09-01T06:34:00,2023-09-04T18:12:00,83.63333333333334
27,2023-09-11T05:45:00,2023-09-22T23:04:00,281.31666666666666
28,2023-09-23T00:54:00,2023-10-24T20:27:00,763.55
29,2023-10-25T08:36:00,2023-11-14T18:45:00,490.15
30,2023-11-18T18:19:00,2023-12-05T06:28:00,396.15
31,2023-12-14T17:29:00,2023-12-30T18:06:00,384.6166666666667
32,2024-01-04T07:05:00,2024-01-07T07:28:00,72.38333333333334
33,2024-01-08T01:40:00,2024-01-30T21:31:00,547.85
34,2024-02-02T17:59:00,2024-02-27T04:59:00,587.0
35,2024-03-02T08:34:00,2024-03-11T00:14:00,207.66666666666666
36,2024-03-17T16:08:00,2024-04-01T23:51:00,367.71666666666664
37,2024-04-12T20:14:00,2024-04-30T00:18:00,412.06666666666666
38,2024-05-05T16:13:00,2024-05-27T14:35:00,526.3666666666667
39,2024-05-28T05:16:00,2024-06-14T14:45:00,417.48333333333335
40,2024-06-15T21:44:00,2024-06-19T00:35:00,74.85
41,2024-06-25T20:45:00,2024-07-06T10:00:00,253.25
42,2024-07-11T13:28:00,2025-04-29T14:56:00,7009.466666666666
43,2025-04-30T16:09:00,2025-05-04T22:15:00,102.1
44,2025-05-09T17:45:00,2025-05-12T20:16:00,74.51666666666667
45,2025-05-15T20:01:00,2025-05-18T20:55:00,72.9
46,2025-05-30T23:08:00,2025-06-03T09:13:00,82.08333333333333
47,2025-06-11T15:45:00,2025-06-15T00:20:00,80.58333333333333
48,2025-06-26T17:58:00,2025-06-29T19:21:00,73.38333333333334
49,2025-07-24T15:47:00,2025-07-27T15:56:00,72.15
50,2025-07-31T16:12:00,2025-08-03T17:55:00,73.71666666666667
51,2025-08-03T18:11:00,2025-08-06T19:01:00,72.83333333333333
52,2025-08-28T21:35:00,2025-09-04T23:26:00,169.85
53,2025-09-13T18:11:00,2025-09-17T00:17:00,78.1
54,2025-09-20T09:55:00,2025-10-05T01:13:00,351.3
55,2025-10-06T08:39:00,2025-10-09T11:04:00,74.41666666666667
56,2025-10-10T02:03:00,2025-10-13T02:56:00,72.88333333333334
57,2025-10-15T08:10:00,2025-10-24T20:07:00,227.95
58,2025-11-04T17:45:00,2025-11-26T09:35:00,519.8333333333334
59,2025-11-28T09:22:00,2025-12-14T21:05:00,395.71666666666664
60,2025-12-19T18:17:00,2025-12-23T11:31:00,89.23333333333333
61,2025-12-25T09:40:00,2026-01-02T02:55:00,185.25
